,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],MI_Objective,grammar_complexity,Language,Area,LangCategory
17309,0,0,1,2,0,1,1,3,4,0.19806977643838186,1.008712070719169,0.6125725178424053,2___2___5,simulated,simulated,simulated
9576,0,1,2,3,0,1,0,3,1,0.198058938018411,1.1524863183479672,0.7563684423111452,2___3___4,simulated,simulated,simulated
8598,0,0,1,0,1,2,3,2,3,0.19805660578886886,0.8214510986829996,0.4253378871052619,2___2___4,simulated,simulated,simulated
19546,0,1,2,2,2,3,2,4,5,0.19805222475608786,1.2273719909346792,0.8312675414225035,2___2___6,simulated,simulated,simulated
18054,0,1,0,2,3,2,2,4,5,0.198048080690286,1.2974140519810144,0.9013178906004424,2___2___6,simulated,simulated,simulated
5700,0,0,1,2,3,3,2,0,1,0.19804496387947967,1.0688166458692363,0.672726718110277,2___2___4,simulated,simulated,simulated
8629,0,1,1,2,2,1,1,0,3,0.1980411902092014,1.1067374512937618,0.710655070875359,2___2___4,simulated,simulated,simulated
9880,0,1,2,2,3,3,0,2,2,0.198040485855546,1.221131914851448,0.8250509431403559,2___2___4,simulated,simulated,simulated
6790,0,1,2,3,3,0,3,3,1,0.1980354483299238,1.2073720136261357,0.811301116966288,2___2___4,simulated,simulated,simulated
9026,0,1,0,2,0,0,3,1,2,0.19801681336709143,1.1419357502759517,0.7459021235417689,2___3___4,simulated,simulated,simulated
10683,0,0,1,2,0,3,1,1,3,0.19801431084710952,1.0001165797740197,0.6040879580798006,2___3___4,simulated,simulated,simulated
3423,0,1,2,3,0,3,0,0,0,0.19800774761489626,1.1216137205591536,0.7255982253293611,2___3___4,simulated,simulated,simulated
13361,0,1,2,2,3,4,2,4,0,0.1979965371143848,1.3434328349272255,0.9474397606984559,2___2___5,simulated,simulated,simulated
16983,0,0,0,1,2,0,3,0,4,0.19798679772314876,0.9798294518149039,0.5838558563686064,2___3___5,simulated,simulated,simulated
17615,0,1,2,2,3,4,2,3,2,0.19797215940074198,1.3277341550160966,0.9317898362146126,2___2___5,simulated,simulated,simulated
7354,0,1,2,2,0,0,3,1,1,0.19796641416933136,1.199077207093194,0.8031443787545314,2___2___4,simulated,simulated,simulated
1552,0,1,1,2,2,2,0,2,1,0.19796616354150953,1.053753432163957,0.6578211050809379,2___2___3,simulated,simulated,simulated
6079,0,1,0,2,3,3,0,0,0,0.19795669483843858,1.146910043132601,0.7509966534557238,2___2___4,simulated,simulated,simulated
7446,0,1,2,1,3,3,0,1,1,0.19795598751082277,1.1167700476699567,0.7208580726483111,2___2___4,simulated,simulated,simulated
13372,0,1,2,0,1,0,1,3,4,0.1979466134384531,0.9508606877976209,0.5549674609207147,2___2___5,simulated,simulated,simulated
14097,0,1,2,2,3,4,2,3,1,0.19794536671093077,1.3317834767145436,0.935892743292682,2___2___5,simulated,simulated,simulated
7714,0,1,1,2,1,3,1,0,2,0.19793996104154044,1.1374518826675626,0.7415719605844817,2___2___4,simulated,simulated,simulated
4540,0,0,1,2,3,1,2,3,0,0.1979352332269575,1.0981892002640885,0.7023187338101735,2___2___4,simulated,simulated,simulated
6864,0,1,1,1,1,2,3,0,2,0.19793214899308786,1.0105726652653764,0.6147083672792006,2___3___4,simulated,simulated,simulated
8091,0,1,1,2,0,1,2,3,0,0.19792488215181292,1.129998872202044,0.7341491078984181,2___3___4,simulated,simulated,simulated
7625,0,0,0,1,2,1,3,3,1,0.19791027781369652,1.0236971439730758,0.6278765883456827,2___2___4,simulated,simulated,simulated
15048,0,1,0,2,3,3,2,2,4,0.1978984534914685,1.2534161995459012,0.8576192925629642,2___2___5,simulated,simulated,simulated
8914,0,1,1,2,0,2,0,3,1,0.19789457316451164,1.0796570348539816,0.6838678885249583,2___2___4,simulated,simulated,simulated
4850,0,1,2,0,2,3,2,2,0,0.19788142802019637,1.028702693540552,0.6329398375001594,2___3___4,simulated,simulated,simulated
17986,0,1,2,1,3,0,3,4,0,0.19787615255083812,1.261132154494352,0.8653798493926756,2___2___5,simulated,simulated,simulated
10192,0,1,2,0,2,0,1,3,3,0.1978749283785033,1.0041565884906205,0.6084067317336139,2___2___4,simulated,simulated,simulated
17727,0,1,2,1,3,4,1,3,2,0.19787181721769898,1.22005259374399,0.8243089593085922,2___2___5,simulated,simulated,simulated
5768,0,1,2,3,0,1,3,3,0,0.1978670438718828,1.1996821229591677,0.803948035215402,2___2___4,simulated,simulated,simulated
