,place,goal,source,real,simulated,optimal,real_sd,simulated_sd,optimal_sd,real_minus_opt_resid,real_minus_opt_resid_sq,real_minus_sim_resid,real_minus_sim_resid_sq,dist_to_hull,dist_to_hull_sq,prior_spec,mu,gamma
0,0,0,0.789473684,0.922175972,0.831593335,0,0.251612849,0.167686501,0,0,0,-12.19726258,9.993882914,4.456092337,0.183385944,source_place_goal,0.3,2
0,0,0,-0.789473684,0.922175972,0.831593335,0,0.251612849,0.167686501,0,0,0,-12.19726258,9.993882914,4.456092569,0.183385944,source_place_goal,0.3,2
0,0,0.789473684,1.842105263,-0.143042368,0.02004531,0,0.04876612,0.091416264,0,0,0,-21.95307781,3.535727495,4.254567706,0.177797353,place_goal_source,0.1,2
0,0,-0.789473684,-1.842105263,-0.143042368,0.02004531,0,0.04876612,0.091416264,0,0,0,-21.95307781,3.535727495,4.254567799,0.177797353,place_goal_source,0.1,2
0,0,0.789473684,-1.842105263,-0.257060975,-0.068372269,0,0.079964846,0.106038003,0,0,0,-21.54514707,3.673971425,6.655353448,0.526666695,place_goal_source,0.1,2
0,0,-0.789473684,1.842105263,-0.257060975,-0.068372269,0,0.079964846,0.106038003,0,0,0,-21.54514707,3.673971425,6.655353546,0.526666695,place_goal_source,0.1,2
0,0,-1.315789474,1.315789474,0.597126938,0.578963108,0,0.112293413,0.119411217,0,0,0,-17.73225905,2.127969155,4.48894257,0.260332759,place_source_goal,0.3,2
0,0,1.315789474,-1.315789474,0.597126938,0.578963108,0,0.112293413,0.119411217,0,0,0,-17.73225905,2.127969155,4.48894257,0.260332759,place_source_goal,0.3,2
0,0,0.789473684,-0.263157895,0.875366709,0.786148342,0,0.226454189,0.15645175,0,0,0,-12.52634652,6.160536132,4.491197698,0.160830448,source_place_goal,0.3,2
0,0,-0.789473684,0.263157895,0.875366709,0.786148342,0,0.226454189,0.15645175,0,0,0,-12.52634652,6.160536132,4.491197719,0.160830448,source_place_goal,0.3,2
0,0,-0.789473684,1.315789474,0.63349468,0.601925092,0,0.130122315,0.124149597,0,0,0,-14.40161204,2.183173173,4.495711013,0.263868466,goal_source_place,0.3,2
0,0,0.789473684,-1.315789474,0.63349468,0.601925092,0,0.130122315,0.124149597,0,0,0,-14.40161204,2.183173173,4.495711217,0.263868466,goal_source_place,0.3,2
0,0,-0.789473684,-1.842105263,-0.173806496,-0.012458663,0,0.044665107,0.084959318,0,0,0,-18.0656859,2.204538031,4.505279322,0.18060278,source_place_goal,0.1,2
0,0,0.789473684,1.842105263,-0.173806496,-0.012458663,0,0.044665107,0.084959318,0,0,0,-18.0656859,2.204538031,4.505279385,0.18060278,source_place_goal,0.1,2
