,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],MI_Objective,grammar_complexity,Language,Area,LangCategory
18068,0,0,1,2,3,4,4,5,0,0.37347951025332815,1.57885528951142,0.8318962690047638,2___1___6,simulated,simulated,simulated
19980,0,1,0,2,0,3,4,5,2,0.3734782253994231,1.57885528951142,0.8318988387125739,2___1___6,simulated,simulated,simulated
19697,0,1,2,3,0,4,5,0,2,0.3734761015273633,1.537910399814722,0.7909581967599955,2___3___6,simulated,simulated,simulated
14027,0,1,2,3,2,4,1,4,4,0.37347081556158934,1.563415769430329,0.8164741383071503,2___2___5,simulated,simulated,simulated
16550,0,1,1,2,3,1,4,3,2,0.3734672917718709,1.5957181279149615,0.8487835443712197,2___3___5,simulated,simulated,simulated
18998,0,1,2,2,2,3,1,4,5,0.37346493980365847,1.4997768965842988,0.7528470169769819,2___1___6,simulated,simulated,simulated
17515,0,1,2,0,3,1,4,3,1,0.3734487317754849,1.400502800784638,0.6536053372336683,2___2___5,simulated,simulated,simulated
13757,0,1,2,1,2,3,3,4,4,0.3734398714631626,1.545569849936055,0.7986901070097299,2___1___5,simulated,simulated,simulated
19620,0,1,2,3,2,4,5,3,1,0.3734171484366413,1.6456273673674164,0.8987930704941338,2___1___6,simulated,simulated,simulated
12233,0,1,2,3,0,3,4,1,1,0.373370367148778,1.477753772508086,0.73101303821053,2___2___5,simulated,simulated,simulated
20758,0,1,2,3,0,4,5,3,6,0.3733587322729761,1.6107912453631523,0.8640737808172001,2___1___7,simulated,simulated,simulated
13431,0,1,2,3,0,2,4,4,0,0.3733419597439174,1.451877549392285,0.7051936299044503,2___2___5,simulated,simulated,simulated
16642,0,1,0,1,1,0,2,3,4,0.3733331024639652,1.3808562139016556,0.6341900089737251,2___2___5,simulated,simulated,simulated
17104,0,1,1,2,3,3,4,3,0,0.3733257462739672,1.5847397886894594,0.838088296141525,2___2___5,simulated,simulated,simulated
12120,0,1,0,2,2,3,3,4,4,0.37331942428062637,1.5176622266818027,0.77102337812055,2___1___5,simulated,simulated,simulated
14471,0,1,2,2,3,2,4,1,4,0.37330195009523903,1.5451260869240777,0.7985221867335996,2___3___5,simulated,simulated,simulated
11277,0,1,2,3,3,1,4,2,3,0.37326917641058555,1.5346130185885634,0.7880746657673923,2___1___5,simulated,simulated,simulated
19181,0,1,2,2,3,2,4,0,5,0.3732317570713417,1.5849736226165545,0.8385101084738711,2___2___6,simulated,simulated,simulated
18392,0,1,2,3,4,5,4,5,5,0.3732094937967365,1.635565663607438,0.889146676013965,2___2___6,simulated,simulated,simulated
15061,0,1,2,2,3,0,4,1,1,0.3732075103159225,1.556832165435207,0.8104171448033621,2___2___5,simulated,simulated,simulated
17141,0,1,1,2,1,3,0,4,3,0.3731186535340578,1.4137750085442309,0.6675377014761152,2___3___5,simulated,simulated,simulated
15642,0,1,0,2,3,0,4,1,4,0.3730868131370446,1.5451260869240777,0.7989524606499885,2___3___5,simulated,simulated,simulated
17979,0,1,2,1,3,2,4,4,1,0.3730726491267691,1.451877549392285,0.7057322511387469,2___2___5,simulated,simulated,simulated
16529,0,1,2,0,3,1,4,1,3,0.3730722752200586,1.3895244615591358,0.6433799111190186,2___3___5,simulated,simulated,simulated
14080,0,1,2,3,1,1,4,0,4,0.3730423402078884,1.477753772508086,0.7316690920923092,2___2___5,simulated,simulated,simulated
20264,0,1,2,3,4,3,4,5,2,0.373037587657679,1.6419702910982596,0.8958951157829016,2___2___6,simulated,simulated,simulated
18622,0,1,2,1,3,4,5,0,4,0.37302702171907565,1.5628918981711384,0.8168378547329871,2___2___6,simulated,simulated,simulated
18161,0,1,2,3,4,5,4,5,2,0.37302669507336517,1.6698779143525118,0.9238245242057814,2___2___6,simulated,simulated,simulated
13277,0,0,1,1,0,1,2,3,4,0.37302222415891806,1.3808562139016554,0.6348117655838192,2___2___5,simulated,simulated,simulated
11868,0,1,1,2,3,3,0,4,1,0.3730093634282987,1.4472788352271266,0.7012601083705292,2___2___5,simulated,simulated,simulated
11342,0,1,0,0,0,2,3,4,2,0.37298368222920564,1.2656907558056198,0.5197233913472086,2___3___5,simulated,simulated,simulated
17976,0,1,1,2,3,1,4,1,2,0.3729610880210037,1.5578804844829257,0.8119583084409183,2___3___5,simulated,simulated,simulated
19864,0,1,2,3,0,3,4,5,3,0.37292645072911235,1.5849736226165545,0.8391207211583298,2___2___6,simulated,simulated,simulated
