,Unnamed: 0,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],Language,Area,dist_to_hull,r patterns,theta patterns
181,181,0,1,0,0,0,1,1,0,0,0.06294201421351231,0.5695221133579703,simulated182,simulated,0.12494158726219633,3.0,3.0
182,182,0,0,1,1,0,1,0,1,0,0.11859318364839301,0.6062919670199228,simulated183,simulated,0.08460990417660763,2.0,2.0
183,183,0,1,1,0,0,1,1,0,0,0.10950667595151233,0.6280371712920189,simulated184,simulated,0.10006701006288617,2.0,2.0
184,184,0,1,0,0,0,0,0,1,0,0.08053145954827913,0.4740698144685993,simulated185,simulated,0.07676195848099594,2.0,2.0
185,185,0,0,1,0,1,0,1,1,1,0.06543926176399427,0.538748714645384,simulated186,simulated,0.11240103644669024,3.0,3.0
186,186,0,0,1,0,0,1,1,1,1,0.0850719473730096,0.481763545020328,simulated187,simulated,0.07500205472118697,2.0,2.0
187,187,0,1,0,0,1,1,0,1,0,0.1029613037932292,0.5852173386865055,simulated188,simulated,0.09238361131644092,2.0,2.0
188,188,0,1,1,0,1,0,1,1,1,0.11788821099871714,0.6690687617869215,simulated189,simulated,0.10416883209869912,3.0,3.0
189,189,0,1,0,0,0,1,1,1,1,0.08072173202782684,0.595943833683331,simulated190,simulated,0.11692804465141912,3.0,3.0
190,190,0,0,0,1,1,0,0,1,0,0.16303123486884408,0.5856250131396661,simulated191,simulated,0.03587333585895708,3.0,3.0
191,191,0,0,1,1,0,0,1,0,1,0.07953177316487302,0.6326808507849114,simulated192,simulated,0.13007977246163124,3.0,3.0
192,192,0,1,0,1,1,0,0,1,0,0.12487604909185154,0.6842895511734035,simulated193,simulated,0.10198061722878196,2.0,2.0
193,193,0,1,1,0,0,1,0,0,0,0.1307644770122217,0.5621790645973609,simulated194,simulated,0.0585429238996994,3.0,3.0
194,194,0,1,0,0,1,0,1,0,1,0.0631810253384042,0.6152018659128802,simulated195,simulated,0.13986414725800492,1.0,1.0
195,195,0,0,1,0,0,1,0,1,1,0.09658061203124417,0.3573467377991492,simulated196,simulated,0.02298567115194727,2.0,2.0
196,196,0,1,1,1,1,0,0,1,0,0.13679190611916736,0.6931424194944702,simulated197,simulated,0.09320687505041507,3.0,3.0
197,197,0,1,0,0,0,1,0,1,1,0.08628562156003894,0.515930081304622,simulated198,simulated,0.08518320836350883,3.0,3.0
198,198,0,1,1,0,1,1,1,1,1,0.13421257668668207,0.6784593293624382,simulated199,simulated,0.09133810114278036,2.0,2.0
199,199,0,0,1,0,1,0,1,0,0,0.05360530876973013,0.5045595806262121,simulated200,simulated,0.11223799848465008,3.0,3.0
200,200,0,1,0,0,0,0,1,1,0,0.08222328485425923,0.5661159029978189,simulated201,simulated,0.10564931587072293,3.0,3.0
201,201,0,1,1,1,0,0,1,1,0,0.06433924628103438,0.6931191600611106,simulated202,simulated,0.16242803541471068,2.0,2.0
202,202,0,0,0,0,1,1,0,1,0,0.0742267687384145,0.34823364372800497,simulated203,simulated,0.04100992119735465,3.0,3.0
203,203,0,1,1,0,1,0,0,1,0,0.13366555737750996,0.6215528329381528,simulated204,simulated,0.07507517150704532,2.0,2.0
204,204,0,0,0,0,1,0,0,0,0,0.05572556898290204,0.2442591584295155,simulated205,simulated,0.024063508388703827,2.0,2.0
